	sample	study	age	missing_metadata	cell_line	differentiated	diseased
0	SRS452440	SRP026048	1	False	False	False	False
1	SRS452440	SRP026048	2	False	False	False	False
2	SRS452441	SRP026048	4	False	False	False	False
3	SRS452441	SRP026048	5	False	False	False	False
4	SRS452442	SRP026048	11	False	False	False	False
5	SRS452442	SRP026048	12	False	False	False	False
6	SRS4494134	SRP188555	16	False	False	False	False
7	SRS452443	SRP026048	16	False	False	False	False
8	SRS4494142	SRP188555	16	False	False	False	False
9	SRS4494144	SRP188555	16	False	False	False	False
10	SRS4494136	SRP188555	16	False	False	False	False
11	ERS105739	ERP001304	19	False	False	False	False
12	SRS910344	SRP057196	21	False	False	False	False
13	SRS910371	SRP057196	21	False	False	False	False
14	SRS910349	SRP057196	21	False	False	False	False
15	SRS910357	SRP057196	21	False	False	False	False
16	SRS910355	SRP057196	21	False	False	False	False
17	SRS910333	SRP057196	21	False	False	False	False
18	SRS910351	SRP057196	21	False	False	False	False
19	SRS910380	SRP057196	21	False	False	False	False
20	SRS910368	SRP057196	21	False	False	False	False
21	SRS910339	SRP057196	21	False	False	False	False
22	SRS910332	SRP057196	21	False	False	False	False
23	SRS910337	SRP057196	21	False	False	False	False
24	SRS910347	SRP057196	21	False	False	False	False
25	SRS910383	SRP057196	21	False	False	False	False
26	SRS910358	SRP057196	21	False	False	False	False
27	SRS910345	SRP057196	21	False	False	False	False
28	SRS910329	SRP057196	21	False	False	False	False
29	SRS910352	SRP057196	21	False	False	False	False
30	SRS910336	SRP057196	21	False	False	False	False
31	SRS910379	SRP057196	21	False	False	False	False
32	SRS910372	SRP057196	21	False	False	False	False
33	SRS910350	SRP057196	21	False	False	False	False
34	SRS910508	SRP057196	22	False	False	False	False
35	SRS910509	SRP057196	22	False	False	False	False
36	SRS4494137	SRP188555	24	False	False	False	False
37	SRS4494140	SRP188555	24	False	False	False	False
38	SRS4494132	SRP188555	24	False	False	False	False
39	SRS4494145	SRP188555	24	False	False	False	False
40	SRS452444	SRP026048	25	False	False	False	False
41	ERS399655	ERP004697	26	False	True	False	False
42	SRS4494146	SRP188555	26	False	False	False	False
43	SRS4494138	SRP188555	26	False	False	False	False
44	SRS4494133	SRP188555	27	False	False	False	False
45	SRS4494141	SRP188555	27	False	False	False	False
46	ERS105743	ERP001304	28	False	False	False	False
47	SRS4494147	SRP188555	31	False	False	False	False
48	SRS4494139	SRP188555	31	False	False	False	False
49	SRS4494135	SRP188555	32	False	False	False	False
50	SRS4494143	SRP188555	32	False	False	False	False
51	ERS105733	ERP001304	34	False	False	False	False
52	SRS910538	SRP057196	37	False	False	False	False
53	SRS910567	SRP057196	37	False	False	False	False
54	SRS910550	SRP057196	37	False	False	False	False
55	SRS910584	SRP057196	37	False	False	False	False
56	SRS910576	SRP057196	37	False	False	False	False
57	SRS910578	SRP057196	37	False	False	False	False
58	SRS910534	SRP057196	37	False	False	False	False
59	SRS910580	SRP057196	37	False	False	False	False
60	SRS910540	SRP057196	37	False	False	False	False
61	SRS910544	SRP057196	37	False	False	False	False
62	SRS910574	SRP057196	37	False	False	False	False
63	SRS910564	SRP057196	37	False	False	False	False
64	SRS910532	SRP057196	37	False	False	False	False
65	ERS105745	ERP001304	38	False	False	False	False
66	ERS105744	ERP001304	39	False	False	False	False
67	ERS105729	ERP001304	43	False	False	False	False
68	SRS910321	SRP057196	47	False	False	False	False
69	SRS910322	SRP057196	47	False	False	False	False
70	SRS910327	SRP057196	47	False	False	False	False
71	SRS910519	SRP057196	47	False	False	False	False
72	SRS910310	SRP057196	47	False	False	False	False
73	SRS910516	SRP057196	47	False	False	False	False
74	SRS910326	SRP057196	47	False	False	False	False
75	SRS910323	SRP057196	47	False	False	False	False
76	SRS910518	SRP057196	47	False	False	False	False
77	SRS910325	SRP057196	47	False	False	False	False
78	SRS910517	SRP057196	47	False	False	False	False
79	SRS910311	SRP057196	47	False	False	False	False
80	SRS910315	SRP057196	47	False	False	False	False
